[10:09:29] [udemy-downloader] [pre_run:406] INFO: Output directory set to F:\Cursor\Advance-Udemy-Downloader\out_dir
[10:09:29] [udemy-downloader] [pre_run:421] INFO: Chapter filter applied: [4]
[10:09:30] [udemy-downloader] [__init__:463] INFO: Found cookie.txt, attempting to use for authentication...
[10:09:30] [udemy-downloader] [main:2161] INFO: > Fetching course information, this may take a minute...
[10:09:36] [udemy-downloader] [main:2164] INFO: > Course information retrieved!
[10:09:36] [udemy-downloader] [main:2169] INFO: > Fetching course curriculum, this may take a minute...
[10:10:05] [udemy-downloader] [_extract_course_curriculum:947] INFO: > Downloading course curriculum.. (Page 2/3)
[10:10:09] [udemy-downloader] [main:2185] INFO: > Course curriculum retrieved!
[10:10:09] [udemy-downloader] [main:2212] INFO: > Processing course data, this may take a minute. 
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 186 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 187 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 188 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 189 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 190 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 191 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 192 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 193 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 194 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 196 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 197 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 198 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 199 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 200 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 201 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 202 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 203 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 204 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 205 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 206 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 207 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 208 of 216
